,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
40,Carlos Boozer,UTA,23,51,17,34,34.9,17.8,7.1,13.6,52.1,0,0,0,3.7,5.3,69.8,2.8,6.2,9,2.8,2.7,0.8,0.5,3.5,33.9,22,0,-2
41,Pau Gasol,MEM,24,56,28,28,31.8,17.8,6.4,12.4,51.4,0,0.1,16.7,5,6.6,76.8,2.3,5,7.3,2.4,2.4,0.7,1.7,2.6,34.7,14,0,2.6
42,Jamal Crawford,NYK,25,70,28,42,38.4,17.7,6.2,15.7,39.8,2.6,7.3,36.1,2.6,3.1,84.3,0.5,2.4,2.9,4.3,2.1,1.3,0.3,1.9,30.3,1,0,-2.5
43,Al Harrington,ATL,25,66,10,56,38.6,17.5,6.9,14.9,45.9,0.2,1.1,21.6,3.6,5.3,67.2,2.2,4.8,7,3.2,3.1,1.3,0.2,3.8,32.2,12,0,-7.8
44,Desmond Mason,MIL,27,80,29,51,36.1,17.2,6,13.5,44.3,0,0.1,12.5,5.3,6.6,80.2,1.1,2.8,3.9,2.7,2.1,0.7,0.3,2.5,27.1,3,0,-2.7
45,Cuttino Mobley,SAC,29,66,36,30,36.3,17.2,6.2,14.1,43.8,2.3,5.2,43.9,2.5,3.1,82,0.7,2.8,3.5,2.8,2,1.1,0.5,2.3,28.3,2,0,-0.1
46,Joe Johnson,PHX,24,82,62,20,39.5,17.1,6.6,14.4,46.1,2.2,4.5,47.8,1.6,2.2,75,1.5,3.7,5.1,3.5,1.8,1,0.3,2,30.5,3,0,6.9
47,Zydrunas Ilgauskas,CLE,30,78,40,38,33.5,16.9,5.9,12.6,46.8,0,0.1,28.6,5.2,6.4,79.9,3.8,4.8,8.6,1.3,2.4,0.7,2.1,4,35.1,24,0,1.6
48,Shareef Abdur-Rahim,POR,28,54,17,37,34.7,16.8,6.2,12.4,50.3,0.3,0.7,38.5,4.1,4.7,86.6,2.3,5,7.3,2.1,2.2,0.9,0.5,2.8,30.6,16,0,-3.8
49,Chris Bosh,TOR,21,81,33,48,37.2,16.8,5.8,12.4,47.1,0,0.1,30,5.1,6.7,76,2.4,6.5,8.9,1.9,2.3,0.9,1.4,2.8,35,32,0,-0.3
50,Tony Parker,SAS,23,80,58,22,34.2,16.6,6.7,14,48.2,0.5,2,27.6,2.6,4,65,0.6,3.1,3.7,6.1,2.7,1.2,0.1,2.1,31.4,7,0,6.4
51,Chauncey Billups,DET,28,80,53,27,35.9,16.5,5.1,11.4,44.2,2.1,4.8,42.6,4.3,4.8,89.8,0.6,2.8,3.4,5.8,2.3,1,0.1,2.4,30.3,3,0,4.4
52,Bobby Simmons,LAC,25,75,35,40,37.5,16.4,6.3,13.6,46.6,0.7,1.5,43.5,3.1,3.6,84.6,1.7,4.2,5.9,2.7,1.8,1.4,0.2,3,30.7,10,0,1
53,Eddy Curry,CHI,22,63,37,26,28.8,16.1,6.2,11.6,53.8,0,0,0,3.6,5,72,1.8,3.5,5.4,0.6,2.6,0.3,0.9,3.2,24.6,6,0,-1.2
54,Manu Ginobili,SAS,27,74,53,21,29.7,16,5,10.5,47.1,1.3,3.5,37.6,4.8,6,80.3,1,3.4,4.4,3.9,2.3,1.6,0.4,2.6,30.8,1,0,9.1
55,Ricky Davis,BOS,25,82,45,37,32.8,16,5.9,12.7,46.2,0.7,2.2,33.9,3.5,4.3,81.5,0.8,2.2,3,3,2.5,1.1,0.3,2.1,25.9,0,0,-0.8
56,Damon Stoudamire,POR,31,81,26,55,34.2,15.8,5.6,14.4,39.2,2.2,6,36.9,2.2,2.5,91.5,0.7,3.1,3.8,5.7,2,1.1,0,2,30.1,8,2,-2.6
57,Michael Finley,DAL,32,64,48,16,37,15.7,6,14.2,42.7,1.8,4.5,40.7,1.8,2.1,83.1,0.7,3.4,4.1,2.6,0.9,0.8,0.3,1.9,26.7,1,0,5.9
58,Kirk Hinrich,CHI,24,77,42,35,36.3,15.7,5.8,14.6,39.7,1.9,5.3,35.5,2.2,2.8,79.2,0.4,3.5,3.9,6.4,2.3,1.6,0.3,3.2,33.3,9,0,-0.3
59,Brad Miller,SAC,29,56,36,20,37.4,15.6,5.7,10.9,52.4,0.1,0.3,26.3,4.2,5.1,81.2,2.5,6.8,9.3,3.9,1.5,1.2,1.2,3.2,38.6,18,0,3.6
60,Andrei Kirilenko,UTA,24,41,15,26,33,15.6,5,10.2,49.3,0.6,1.9,29.9,5,6.3,78.4,2.2,4,6.2,3.2,2.2,1.6,3.3,2.5,40.6,7,0,2.1
61,Steve Nash,PHX,31,75,60,15,34.2,15.5,5.7,11.4,50.2,1.3,2.9,43.1,2.8,3.2,88.7,0.8,2.6,3.3,11.5,3.3,1,0.1,1.8,36.7,49,1,8.9
62,Kenyon Martin,DEN,27,70,39,31,32.6,15.5,6.3,13,49,0,0.2,0,2.8,4.4,64.6,2.1,5.2,7.3,2.4,2.1,1.4,1.1,3.3,33.4,20,0,1
