,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
11,Cleveland Cavaliers,82,47,35,0.573,48.4,92.5,34.4,75.7,45.4,3.6,9.8,37.2,20.2,26.7,75.6,11.6,28.4,40.1,23.1,17.3,9.9,5.1,5.5,23.6,0.1,2.7
12,Portland Trail Blazers,82,46,36,0.561,48.4,94.3,35.2,78,45.1,4,12.8,30.9,20,27.1,73.7,13.2,30.8,44,21.5,16.9,7.1,5.7,5.4,22.7,0.2,1.4
13,Minnesota Timberwolves,82,45,37,0.549,48.7,101.1,38.5,83.5,46.1,3.7,10.6,34.7,20.4,27.5,74.3,13,29.6,42.6,25.2,13.9,7.8,5.2,5,22.9,0.3,0.7
14,New York Knicks,82,43,39,0.524,48.4,91.5,34.9,78.1,44.7,4.7,13.9,33.5,17.1,22.1,77.2,11.9,29.7,41.6,21.8,15.2,7.7,3.4,3.8,23.7,0.3,2.5
14,New Jersey Nets,82,43,39,0.524,48.5,99.6,37.3,84.5,44.1,3.8,11.4,33.1,21.3,28.7,74.4,16.4,26.1,42.5,20.5,14.4,9.5,3.8,6.3,23.4,0.3,1.6
16,Washington Wizards,82,42,40,0.512,48.3,97.2,37.6,83.1,45.2,3.9,11.5,33.9,18.2,26.3,69.1,13.7,28.5,42.2,23.2,14.1,8.4,4.6,4.5,22.4,0.2,0.6
17,Orlando Magic,82,41,41,0.5,48.4,90.1,33.8,78.7,42.9,3.6,11.1,32.3,18.9,26.1,72.6,14.4,26.9,41.2,20.7,15.3,7.9,5.4,4.7,19.7,0.2,-1.1
17,Houston Rockets,82,41,41,0.5,48.4,98.8,35.9,79.4,45.2,7,20.4,34.3,19.9,25.9,77.1,12,28.7,40.7,21.9,15.8,8.4,3.6,4.5,20.2,0.2,-0.8
19,Detroit Pistons,82,37,45,0.451,48.7,94.2,34.9,77.7,44.9,3.6,11.4,31.2,20.8,27.9,74.5,12.7,28.5,41.2,19.5,14.6,8.3,4.2,4.7,21.9,0.2,1.6
20,Boston Celtics,82,36,46,0.439,48.1,95.9,36.7,84.6,43.4,5.1,15.2,33.2,17.4,24,72.6,14.6,24.9,39.5,22.1,16.2,12,4.5,5,26.8,0.2,-2.6
20,Milwaukee Bucks,82,36,46,0.439,48.6,94.5,35.6,78,45.6,3,8.6,35.4,20.3,26.4,76.7,12.6,27.3,39.9,20.1,16.9,8.9,4.4,4.9,23.4,0.2,-1.9
22,Philadelphia 76ers,82,31,51,0.378,48.2,93.3,34.6,78.1,44.3,3,9.9,30,21.1,28.7,73.7,13.7,28,41.7,21.1,16.5,8.9,6,6.2,22.9,0.1,-2.4
23,Sacramento Kings,82,27,55,0.329,48.1,93.1,36.1,81.5,44.2,3.5,9.8,35.1,17.6,25.6,68.7,13.3,28.1,41.4,22.4,15.5,7.3,5.1,5.7,22.1,0,-5.6
24,Dallas Mavericks,82,20,62,0.244,48.6,91.4,35.1,82.4,42.7,5.1,14.4,35.7,16,21.2,75.3,12.3,27.8,40.1,18.7,14.4,7.9,5.7,4.6,20,0.2,-6.1
25,Golden State Warriors,82,19,63,0.232,48.4,88.3,34.7,83.9,41.3,2.3,8.5,27.2,16.6,23.3,71,15.7,30.2,45.9,20.8,16.7,7.6,5.5,5.8,22.7,0.1,-9.1
25,Vancouver Grizzlies,82,19,63,0.232,48.4,96.6,36.7,80.1,45.8,4,11,36.2,19.3,26.2,73.9,13.2,28.2,41.4,23.9,17.1,7.5,4.3,6.6,22.1,0.2,-7.3
27,Los Angeles Clippers,82,17,65,0.207,48.2,95.9,35.7,81.6,43.8,6.4,17.9,35.8,18,25,72.3,12.7,27.8,40.4,18.7,16.1,7.6,5.6,5,22.3,0.1,-7.4
28,Toronto Raptors,82,16,66,0.195,48.6,94.9,36.1,83.1,43.5,4.5,13.2,34.2,18,25.1,71.8,14.5,26.2,40.7,21.3,16.7,9.4,8.1,6.3,22.6,0.1,-9.3
29,Denver Nuggets,82,11,71,0.134,48.1,89,32.6,78.2,41.8,3.5,10.9,32.3,20.2,26.2,77.2,12.7,26.3,39,18.9,16,8.1,4.8,6.5,23.6,0.2,-11.8
