,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
11,Sacramento Kings,82,44,38,0.537,48.4,98.9,36,79.3,45.4,6,17.2,35.1,20.8,26.5,78.4,10.4,30.2,40.5,22.3,14.6,7.4,3.6,4.9,20.4,22.8,1.5
11,Denver Nuggets,82,44,38,0.537,48.6,100.3,37.5,81.4,46.1,4.3,13.1,32.5,21,28.2,74.4,11,30.3,41.3,23.4,14.8,8.5,5.6,5.3,22.7,23.3,0.2
13,Washington Wizards,82,42,40,0.512,48.4,101.7,36.3,81.2,44.7,6.1,17,35.7,23,30.4,75.7,12.6,28.6,41.2,18.6,13.9,8,4.1,4.2,22.6,25,1.9
14,Indiana Pacers,82,41,41,0.5,48.1,93.9,34,76.5,44.4,6.5,18.7,34.9,19.4,26.3,73.7,11,31.2,42.2,19.9,15.3,7.3,5,4.9,22.2,22,1.9
14,Utah Jazz,82,41,41,0.5,48.5,92.4,33.5,75.7,44.2,3.8,11.3,33.6,21.6,30.1,71.9,13.1,29,42.1,21.6,15.7,6.4,6,5.6,24.8,25.7,-2.6
14,Chicago Bulls,82,41,41,0.5,48.5,97.8,36.6,82.2,44.6,6.8,18,37.9,17.7,24,73.8,11,31.7,42.8,22,14.9,6.2,4.2,5.1,24.9,23,0.6
17,Milwaukee Bucks,82,40,42,0.488,48.4,97.8,36.3,80.1,45.3,6.2,16.3,38,19,25.8,73.8,11.3,29.9,41.2,21.6,14.6,7.3,3.3,5,23.2,23.6,-1
18,Philadelphia 76ers,82,38,44,0.463,48.5,99.4,36.6,79.8,45.8,4.6,12.6,36.4,21.6,28.4,76,10.6,29.6,40.2,20.2,14.1,7.9,4.9,4.7,20.9,23.1,-2
18,New Orleans Hornets,82,38,44,0.463,48.3,92.8,34.5,78.4,44,3.7,10.8,33.9,20.1,26.5,75.8,11.2,29,40.2,18.5,13.4,7.5,3.8,5.3,21.8,23.3,-2.8
20,Orlando Magic,82,36,46,0.439,48.5,94.9,35.5,75.2,47.2,3.6,9.7,37.6,20.3,27.8,73,10.9,29.3,40.2,18.2,15.1,6.5,4.4,4.7,23.3,23.2,-1.1
21,Seattle SuperSonics,82,35,47,0.427,48.4,102.6,37.5,81.8,45.9,7.4,19.9,37.1,20.1,25.7,78.5,12.4,27.2,39.6,20.7,14.7,7.6,3.7,4.9,23.6,22.2,-3
22,Houston Rockets,82,34,48,0.415,48.4,90.1,33,76.2,43.3,5.7,17.2,33.2,18.3,24.1,75.9,10.4,31.3,41.6,19.3,14.5,7.2,3.9,4.5,22.7,20.9,-1.6
22,Golden State Warriors,82,34,48,0.415,48.4,98.5,35.8,82.7,43.3,7.6,22.3,34.1,19.2,26.7,71.8,12,30.3,42.3,20.7,14.1,7.4,4.3,5,23.7,23.4,-1.4
24,Minnesota Timberwolves,82,33,49,0.402,48.4,91.7,35.2,77.3,45.6,3.8,11.5,32.9,17.5,23.1,75.8,9.9,29.5,39.4,20.9,14.5,6.8,5.7,4.6,23,21.2,-1.9
24,Boston Celtics,82,33,49,0.402,48.5,98,36,77.1,46.7,5.7,15.7,36.2,20.3,26.9,75.5,9.9,29.7,39.6,20.9,16.6,7,5.1,4.9,24.8,22.4,-1.5
26,Toronto Raptors,82,27,55,0.329,48.7,101.1,36.7,81,45.4,7.4,19.8,37.5,20.2,25.5,79.1,10.5,27.9,38.5,19.4,13.1,6.5,3.3,4.4,24,22.4,-3
27,Atlanta Hawks,82,26,56,0.317,48.5,97.2,35.9,79.2,45.4,5.2,14.1,36.7,20.2,26.9,75,13,27.2,40.3,19.8,15.7,7.2,4.8,5.1,25,22.6,-4.8
27,Charlotte Bobcats,82,26,56,0.317,48.5,96.9,36.1,83.5,43.3,5.2,15.4,33.9,19.4,26.7,72.9,12.1,27.7,39.8,20.9,14.2,10,4.3,5.4,23.9,23.5,-4
29,New York Knicks,82,23,59,0.28,48.6,95.6,34.4,75.7,45.5,3.9,10.8,36.2,22.9,31.5,72.6,12.6,28.8,41.4,17.9,17.7,6.8,3.3,5.3,26.3,25,-6.4
30,Portland Trail Blazers,82,21,61,0.256,48.1,88.8,34,76.4,44.5,4.4,12.7,34.9,16.3,23.7,68.9,10.8,26.9,37.7,18.2,14.7,6.5,5.3,4.9,22.3,20.8,-9.5
