,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
43,26.0,80.0,60.0,20.0,36.4,16.8,6.1,12.6,48.4,1.8,4.6,38.9,2.9,3.8,76.3,1.1,2.7,3.8,3.1,1.8,2.0,0.7,2.1,32.2,1.0,0.0,7.6
44,31.0,73.0,52.0,21.0,28.5,16.7,7.0,14.2,49.5,0.0,0.0,0.0,2.6,3.3,78.3,1.7,5.2,6.9,1.4,1.8,0.5,1.2,3.3,30.5,16.0,0.0,5.9
45,22.0,82.0,45.0,37.0,39.3,18.5,7.7,15.8,49.1,0.0,0.2,18.8,3.0,4.0,73.8,2.7,6.9,9.6,4.2,2.3,1.7,1.8,2.7,44.6,45.0,1.0,1.9
46,27.0,81.0,50.0,31.0,35.1,13.0,4.7,10.7,44.3,0.7,2.1,34.7,2.8,3.6,79.5,0.6,2.0,2.6,6.5,2.8,1.7,0.4,2.8,29.5,11.0,0.0,1.7
47,35.0,78.0,58.0,20.0,35.2,15.7,5.6,11.5,48.5,0.8,1.9,41.1,3.8,4.5,84.4,1.7,5.4,7.1,4.4,2.2,0.8,0.2,2.6,31.7,13.0,0.0,6.9
48,37.0,79.0,59.0,20.0,24.6,11.8,4.4,8.9,49.6,1.6,3.5,46.0,1.4,1.8,78.2,0.6,1.7,2.3,1.1,0.9,0.8,0.1,1.6,17.8,0.0,0.0,4.4
49,24.0,77.0,40.0,37.0,36.5,17.2,6.6,15.0,44.0,1.4,3.4,41.8,2.6,3.2,80.8,1.7,3.0,4.7,2.3,1.4,1.7,0.5,2.0,31.5,7.0,0.0,1.9
50,28.0,59.0,22.0,37.0,24.9,10.3,3.6,9.2,38.6,1.4,3.7,36.5,1.8,2.1,86.4,0.8,2.5,3.4,2.1,1.6,1.0,0.6,2.7,20.7,1.0,0.0,-3.6
51,31.0,81.0,50.0,31.0,38.9,12.8,4.8,9.4,50.9,0.0,0.0,0.0,3.2,5.0,64.9,2.2,8.0,10.2,4.2,1.8,0.8,0.2,2.2,32.8,32.0,0.0,2.0
52,25.0,74.0,16.0,58.0,34.1,16.3,6.6,12.7,52.3,0.0,0.1,0.0,3.0,4.3,70.6,2.6,5.3,7.9,2.1,2.1,0.5,1.1,3.8,31.7,18.0,0.0,-4.9
53,27.0,74.0,41.0,33.0,37.7,19.7,7.4,17.6,42.3,1.8,5.7,32.1,3.0,3.6,82.8,1.3,3.3,4.7,3.1,2.5,0.7,0.3,2.5,30.5,3.0,0.0,1.2
54,27.0,79.0,24.0,55.0,38.6,15.7,6.0,14.0,43.0,0.8,2.4,31.9,2.9,3.6,81.2,1.6,3.4,5.1,4.8,3.3,1.0,0.1,2.4,29.0,3.0,0.0,-3.8
55,28.0,75.0,38.0,37.0,34.7,19.6,6.8,15.4,44.1,0.2,1.1,18.8,5.8,6.8,86.0,1.0,2.1,3.0,8.0,3.6,1.6,0.3,3.5,37.4,20.0,0.0,1.8
