23,18,24,5,5,5,6,6,9,25,-4,22,1,1,1,1
18,24,45,5,5,7,6,9,7,-4,22,4,1,1,1,0
24,45,27,5,7,5,9,7,8,22,4,-18,1,1,0,1
45,27,24,7,5,13,7,8,9,4,-18,4,1,0,1,0
27,24,32,5,13,15,8,9,13,-18,4,4,0,1,0,1
24,32,26,13,15,4,9,13,4,4,4,-1,1,0,1,0
32,26,39,15,4,13,13,4,14,4,-1,2,0,1,0,1
26,39,40,4,13,10,4,14,9,-1,2,13,1,0,1,0
39,40,34,13,10,7,14,9,7,2,13,-2,0,1,0,1
40,34,45,10,7,8,9,7,5,13,-2,14,1,0,1,1
34,45,37,7,8,12,7,5,12,-2,14,7,0,1,1,1
45,37,38,8,12,4,5,12,13,14,7,14,1,1,1,0
37,38,29,12,4,6,12,13,8,7,14,6,1,1,0,0
38,29,21,4,6,6,13,8,6,14,6,5,1,0,0,1
29,21,31,6,6,8,8,6,5,6,5,6,0,0,1,0
21,31,25,6,8,5,6,5,8,5,6,-12,0,1,0,0
31,25,21,8,5,5,5,8,6,6,-12,-18,1,0,0,1
25,21,36,5,5,5,8,6,6,-12,-18,7,0,0,1,1
21,36,24,5,5,8,6,6,10,-18,7,7,0,1,1,1
36,24,39,5,8,11,6,10,8,7,7,-1,1,1,1,0
24,39,31,8,11,10,10,8,6,7,-1,-7,1,1,0,1
39,31,31,11,10,19,8,6,8,-1,-7,-2,1,0,1,1
31,31,51,10,19,8,6,8,9,-7,-2,10,0,1,1,1
31,51,28,19,8,3,8,9,5,-2,10,12,1,1,1,0
51,28,36,8,3,7,9,5,5,10,12,-12,1,1,0,1
28,36,41,3,7,9,5,5,4,12,-12,-3,1,0,1,1
36,41,37,7,9,14,5,4,4,-12,-3,3,0,1,1,1
41,37,28,9,14,11,4,4,7,-3,3,15,1,1,1,1
37,28,33,14,11,9,4,7,12,3,15,12,1,1,1,0
28,33,32,11,9,7,7,12,6,15,12,-11,1,1,0,1
33,32,26,9,7,11,12,6,7,12,-11,5,1,0,1,1
32,26,29,7,11,7,6,7,10,-11,5,10,0,1,1,0
26,29,39,11,7,6,7,10,9,5,10,-1,1,1,0,0
29,39,26,7,6,13,10,9,11,10,-1,-8,1,0,0,1
39,26,31,6,13,14,9,11,12,-1,-8,14,0,0,1,1
26,31,33,13,14,15,11,12,8,-8,14,2,0,1,1,1
31,33,25,14,15,7,12,8,11,14,2,19,1,1,1,1
33,25,30,15,7,8,8,11,13,2,19,12,1,1,1,1
25,30,37,7,8,6,11,13,6,19,12,21,1,1,1,1
30,37,50,8,6,8,13,6,10,12,21,11,1,1,1,1
